MOVIE NAME, YEAR, MALE SINGER COUNT, FEMALE SINGER COUNT, MALE SONG COUNT, FEMALE SONG COUNT
Mahal (1989 film)_1989,1989,1,2.0,2,6.0
Pyaar Ke Do Pal_1986,1986,0.0,1,0.0,2
Jazbaat (1994 film)_1994,1994,0.0,2,0.0,7
Agent Vinod (2012 film)_2012,2012,2,0.0,9,0.0
Pardesi Babu_1998,1998,6,2.0,9,3.0
Sainik_1993,1993,1,4.0,4,5.0
Sangharsh (1999 film)_1999,1999,3,1.0,6,2.0
Mom Ki Gudiya_1972,1972,1.0,2.0,2.0,3.0
Hawas_1974,1974,1.0,1,1.0,4
Jab Harry Met Sejal_2017,2017,2.0,2,2.0,2
Qatl_1986,1986,1.0,2.0,2.0,6.0
Naam (1986 film)_1986,1986,1.0,2.0,1.0,2.0
Sadak Chhap_1987,1987,2,2.0,6,4.0
Naya Din Nai Raat_1974,1974,2.0,2,2.0,4
Ladaai_1989,1989,1.0,2,1.0,2
Swarg Yahan Narak Yahan_1991,1991,4,2.0,11,8.0
Ranbhoomi_1991,1991,2.0,4,2.0,5
Ek Ladka Ek Ladki_1992,1992,3,3.0,5,6.0
Chacha Bhatija_1977,1977,2.0,1,3.0,3
Khotey Sikkay_1974,1974,1,2.0,1,3.0
Sindoor (film)_1987,1987,3.0,2,3.0,5
Aarambh_1976,1976,2,2.0,4,6.0
Sapnay (1997 film)_1997,1997,6,6.0,6,6.0
Tridev_1989,1989,3,4.0,3,11.0
Daku Hasina_1987,1987,2,3.0,2,3.0
Aaina (1993 film)_1993,1993,4,3.0,4,9.0
Vaada Raha_2009,2009,2,0.0,5,0.0
Aashiq Awara_1993,1993,1.0,3,4.0,7
Sadda Adda_2012,2012,2,1.0,6,2.0
Traffic (2016 film)_2016,2016,3,2.0,3,3.0
Kissi Se Na Kehna_1983,1983,1.0,1,1.0,5
Ahimsa (1979 film)_1979,1979,4,1.0,5,3.0
Banarasi Babu (1973 film)_1973,1973,1,2.0,6,10.0
Ek Hi Bhool_1981,1981,1,2.0,1,4.0
Radha Ka Sangam_1992,1992,2.0,3,3.0,7
Har Dil Jo Pyar Karega_2000,2000,4.0,1,7.0,4
Duplicate (1998 film)_1998,1998,4.0,2,7.0,4
Pathreela Raasta_1994,1994,3.0,2,7.0,7
Prem Geet_1981,1981,2.0,2,3.0,5
Saajan Chale Sasural_1996,1996,3.0,2.0,7.0,5.0
Chameli Ki Shaadi_1986,1986,2,2.0,2,3.0
Jeena Teri Gali Mein_1991,1991,4.0,1,6.0,9
Virodhi (1992 film)_1992,1992,2,2.0,4,3.0
Jaane-Anjaane_1971,1971,3,4.0,4,5.0
Agneepath (1990 film)_1990,1990,3.0,4,3.0,4
Chitchor (1976 film)_1976,1976,1,1.0,4,2.0
Deewana Mastana_1997,1997,2.0,3.0,4.0,5.0
Trishakti_1999,1999,4,0.0,8,0.0
Naya Zamana (1971 film)_1971,1971,2.0,1,5.0,8
Insaniyat Ke Devta_1993,1993,2,2.0,3,3.0
Khoon Aur Paani_1981,1981,2,2.0,3,4.0
Afsana Pyaar Ka_1991,1991,1.0,3,1.0,7
Bewaffa Se Waffa_1992,1992,0.0,2,0.0,6
Maha Chor_1976,1976,1,3.0,7,6.0
Thank You (2011 film)_2011,2011,4.0,3.0,8.0,5.0
Namumkin_1988,1988,1.0,2,3.0,3
Naam O Nishan_1987,1987,1,2.0,1,3.0
Abhinetri_1970,1970,2,2.0,2,7.0
Maan Apmaan_1979,1979,1,3.0,2,5.0
Dil Ki Baazi_1993,1993,2,3.0,3,8.0
Khiladi 786_2012,2012,5.0,3.0,15.0,9.0
Raunaq_1993,1993,0.0,1,0.0,2
Lahu Ke Do Rang (1997 film)_1997,1997,4,4.0,6,7.0
Balmaa_1993,1993,2,2.0,4,6.0
Ghayal (1990 film)_1990,1990,2.0,4,3.0,6
Hey Ram_2000,2000,4,6.0,8,7.0
Rakshak_1996,1996,6,3.0,7,4.0
Listen... Amaya_2013,2013,1,0.0,2,0.0
Sharara_1984,1984,1.0,2,2.0,5
Hum Aapke Hain Koun..!_1994,1994,4.0,2,12.0,12
Juaari_1994,1994,4.0,4,5.0,6
Chaani_1977,1977,1,2.0,2,6.0
Do Lafzon Ki Kahani (film)_2016,2016,2.0,2.0,2.0,2.0
Ekka Raja Rani_1994,1994,3,2.0,8,7.0
Tahkhana_1986,1986,0.0,3.0,0.0,5.0
Apradhi (1992 film)_1992,1992,1.0,1,1.0,3
Chillar Party_2011,2011,3.0,0.0,6.0,0.0
Azad Mohabbat_1974,1974,1,2.0,2,4.0
Uttarayan (film)_1985,1985,1.0,0.0,1.0,0.0
Dillagi (1978 film)_1978,1978,2.0,2,3.0,5
Zindagi (1976 film)_1976,1976,1,1.0,3,2.0
Wedding Anniversary (2017 film)_2017,2017,2,0.0,3,0.0
Izzat Ki Roti_1993,1993,3,3.0,4,12.0
Zulm-O-Sitam_1998,1998,3,1.0,8,1.0
Khule-Aam_1992,1992,0.0,2,0.0,8
Beta (1992 film)_1992,1992,2,1.0,5,9.0
Parinda_1989,1989,2,1.0,6,2.0
Ek Nari Ek Brahmachari_1971,1971,3,2.0,5,3.0
Seema (1971 film)_1971,1971,2,4.0,8,10.0
Dostana (1980 film)_1980,1980,1,2.0,4,2.0
Patiala House (film)_2011,2011,7,3.0,13,7.0
Lahore (film)_2010,2010,7,2.0,13,4.0
Khatarnaak_1990,1990,1.0,3.0,2.0,5.0
Kissa Kursi Ka_1977,1977,3.0,1,3.0,2
Bemisal_1982,1982,2,1.0,4,2.0
Hum Tum Aur Woh_1971,1971,0.0,0.0,0.0,0.0
Karan (1994 film)_1994,1994,2,4.0,6,6.0
The Train (1970 film)_1970,1970,1,2.0,1,5.0
Policegiri_2013,2013,3.0,2.0,5.0,3.0
Zindagi Zindagi_1972,1972,4,1.0,14,1.0
Hum Saath-Saath Hain: We Stand United_1999,1999,5.0,3,14.0,11
Karishma Kudrat Kaa_1985,1985,2.0,1.0,2.0,5.0
Khalnayak (1993 film)_1993,1993,1.0,2,1.0,7
Miley naa Miley hum (2011 film)_2011,2011,3.0,4.0,3.0,4.0
De Dana Dan_2009,2009,4,0.0,7,0.0
Dharmatma_1975,1975,2,1.0,3,1.0
Bhai (1997 film)_1997,1997,5,3.0,8,4.0
Satya 2_2013,2013,4.0,2.0,6.0,6.0
Sailaab (1990 film)_1990,1990,1,4.0,1,6.0
Judge Mujrim_1997,1997,2.0,3,2.0,6
Luv Ka The End_2011,2011,4,2.0,4,3.0
Nil Battey Sannata_2016,2016,2,0.0,2,0.0
Aathi Parasakthi_1976,1976,2.0,2,3.0,4
Aakhri Kasam_1979,1979,2.0,2,2.0,5
Benaam Badsha_1991,1991,1.0,2.0,1.0,5.0
Trishna (1978 film)_1978,1978,1.0,1,1.0,1
Achanak (1973 film)_1973,1973,1,0.0,1,0.0
Lakshmanrekha_1991,1991,0.0,3,0.0,9
Andaz (1994 film)_1994,1994,4,2.0,8,5.0
Shirin Farhad Ki Toh Nikal Padi_2012,2012,3.0,2,6.0,4
Hum Hai Teen Khurafaati_2014,2014,4.0,3.0,5.0,4.0
Avishkaar_1973,1973,2,2.0,4,4.0
Raju Chacha_2000,2000,6,4.0,6,7.0
Mohra (1994 film)_1994,1994,3,3.0,7,7.0
Avinash (1986 film)_1986,1986,2,3.0,3,3.0
Dulhan Wahi Jo Piya Man Bhaaye_1977,1977,3.0,1,3.0,8
Jeevan Mrityu_1970,1970,1,1.0,1,3.0
Sawan Ko Aane Do_1979,1979,3.0,0.0,8.0,0.0
Jaago (1985 film)_1985,1985,3,1.0,7,1.0
Prayashchit_1977,1977,0.0,1,0.0,8
Salaakhen (1998 film)_1998,1998,3,4.0,4,6.0
Speedy Singhs_2011,2011,2.0,1.0,3.0,1.0
Shiv Ram_1991,1991,2,2.0,3,3.0
John Jani Janardhan_1984,1984,2.0,2,3.0,5
Agent 009_1980,1980,0.0,1,0.0,2
Ghar Mein Ram Gali Mein Shyam_1988,1988,3,1.0,6,2.0
Aaja Sanam_1975,1975,1,3.0,6,8.0
Ulta Seedha_1985,1985,1,2.0,3,3.0
2001: Do Hazaar Ek_1998,1998,5,3.0,7,4.0
Phata Poster Nikla Hero_2013,2013,5.0,3.0,8.0,3.0
Well Done Abba_2010,2010,2.0,2,3.0,2
Aatank_1996,1996,1.0,2,2.0,7
Laparwah_1981,1981,1,1.0,3,1.0
Desh Premee (1982 film)_1982,1982,2.0,3,3.0,4
Khandaan (1979 film)_1979,1979,2.0,1,3.0,1
Zor (film)_1998,1998,3.0,2.0,3.0,3.0
Dayavan_1988,1988,2,4.0,3,5.0
Kotwal Saab_1977,1977,0.0,2,0.0,4
Billu_2009,2009,5,0.0,15,0.0
Hum Tum Aur Ghost_2010,2010,6,4.0,11,4.0
Mission Kashmir (2000 film)_2000,2000,2,4.0,6,6.0
Vijeta_1996,1996,2.0,1.0,3.0,2.0
Main Balwan_1986,1986,2,1.0,5,2.0
Pardesi (1993 film)_1993,1993,4,2.0,4,7.0
Lamhe (1991 film)_1991,1991,3,3.0,3,7.0
Jaan Hatheli Pe_1987,1987,2.0,4,2.0,5
Adhikar (1986 film)_1986,1986,1,4.0,4,7.0
Raeeszada_1990,1990,2.0,1.0,2.0,1.0
Sahhas_1981,1981,1,2.0,3,3.0
Naache Mayuri_1986,1986,1.0,2,2.0,5
Aa Gaya Hero_2017,2017,0.0,1.0,0.0,1.0
Insaaf Apne Lahoo Se_1994,1994,2.0,5,2.0,9
Majhdhaar_1996,1996,4,1.0,8,3.0
Kurbaan (1991 film)_1991,1991,4,2.0,4,3.0
Is Raat Ki Subah Nahin_1996,1996,2.0,1,4.0,4
Milan (1995 film)_1995,1995,4,3.0,7,3.0
Zid (1976 film)_1976,1976,1.0,1,2.0,5
Satte Pe Satta_1982,1982,4,1.0,13,3.0
Baat Hai Pyaar Ki_1991,1991,0.0,2,0.0,5
Lafange_1975,1975,3,2.0,7,5.0
Ek Se Bhale Do_1985,1985,4,3.0,6,6.0
3G (film)_2013,2013,4,2.0,5,2.0
Kaanchi..._2014,2014,8,4.0,12,7.0
Dil Ka Kya Kasoor_1992,1992,2,3.0,7,4.0
Balika Badhu (1976 film)_1976,1976,3,2.0,3,2.0
Daata_1989,1989,3,5.0,10,12.0
Daisy (1988 film)_1988,1988,1,1.0,2,2.0
Do Ladkiyan_1976,1976,2,1.0,4,3.0
Tulsi Vivah (film)_1971,1971,1.0,2,8.0,16
Aakrosh (1998 film)_1998,1998,4,2.0,7,4.0
Ooparwala Jaane_1977,1977,0.0,1,0.0,2
Hum Se Hai Zamana_1983,1983,1,1.0,4,3.0
Insaaf Ki Devi_1992,1992,1.0,4,2.0,10
Raasaiyya_1995,1995,3,4.0,6,4.0
Parda Hai Parda (1992 film)_1992,1992,4,3.0,5,5.0
Zakhm_1998,1998,2.0,2,3.0,6
Bekhudi_1992,1992,1,1.0,5,6.0
Duvidha_1973,1973,0.0,0.0,0.0,0.0
Khamosh Nigahen (1986 film)_1986,1986,2.0,2,2.0,4
Mahakaal_1993,1993,3,3.0,3,3.0
Yari Dushmani_1980,1980,3,2.0,3,4.0
Gora Aur Kala_1972,1972,2,2.0,4,4.0
Akira (2016 Hindi film)_2016,2016,2.0,3,4.0,4
Mohenjo Daro (film)_2016,2016,6,3.0,9,5.0
Aakhri Adaalat_1988,1988,1,1.0,2,1.0
Sanam Re_2016,2016,7,3.0,12,3.0
Karobaar: The Business of Love_2000,2000,2,2.0,6,4.0
Surakshaa (1995 film)_1995,1995,3.0,1.0,6.0,2.0
Ishq (1997 film)_1997,1997,6,4.0,11,8.0
Ghar Sansar_1986,1986,1,4.0,2,4.0
Hostel (2011 film)_2011,2011,0.0,0.0,0.0,0.0
Bandhan Kuchchey Dhaagon Ka_1983,1983,2,3.0,5,6.0
Lover Boy (1985 film)_1985,1985,0.0,0.0,0.0,0.0
Ek Villain_2014,2014,4,2.0,5,2.0
Kal Kissne Dekha_2009,2009,3,2.0,7,7.0
Kalyug Ke Avtaar_1995,1995,2.0,3,2.0,3
Jwala_1971,1971,3,4.0,3,9.0
Waqt Ki Awaz_1988,1988,2,1.0,4,4.0
Jigar_1992,1992,4,2.0,5,6.0
Chalte Chalte (1976 film)_1976,1976,4,1.0,5,2.0
Madaari_2016,2016,2,0.0,2,0.0
Naseeb Apna Apna_1986,1986,1,3.0,5,5.0
Khiladi 420_2000,2000,4,3.0,6,4.0
Papi Gudia_1996,1996,2.0,2,2.0,5
Dil Aashna Hai_1992,1992,4,3.0,4,11.0
Tezaab_1988,1988,2,3.0,2,6.0
Amba (film)_1990,1990,2,3.0,3,6.0
Jwar Bhata (1973 film)_1973,1973,1,2.0,3,5.0
Love in Canada_1979,1979,2,2.0,3,3.0
Rukhsat_1988,1988,2,1.0,5,3.0
Mera Dil Tere Liye_1992,1992,4.0,1,5.0,5
Itihaas (film)_1997,1997,4,2.0,10,11.0
Insaan Aur Shaitan_1970,1970,1,1.0,1,3.0
The Shaukeens_2014,2014,5,1.0,6,1.0
Tajurba_1981,1981,3,4.0,4,4.0
Marte Dam Tak_1987,1987,5,3.0,5,3.0
Do Jasoos_1975,1975,4.0,2,5.0,4
Saat Sawal_1971,1971,1,1.0,3,10.0
Pyar Ke Kabil_1987,1987,1,2.0,2,3.0
The Dirty Picture_2011,2011,2,2.0,3,5.0
Double Dhamaal_2011,2011,0.0,2.0,0.0,3.0
Sarbjit (film)_2016,2016,5,2.0,7,2.0
Umrao Jaan_1981,1981,2.0,3,3.0,7
Striker (2010 film)_2010,2010,6,1.0,8,1.0
Rabba Main Kya Karoon_2013,2013,4.0,1.0,5.0,1.0
Commando-A One Man Army_2013,2013,2.0,1.0,2.0,1.0
Ragini MMS 2_2014,2014,2.0,1.0,2.0,2.0
Kahaani 2: Durga Rani Singh_2016,2016,2,2.0,2,2.0
Tohfa_1984,1984,2,2.0,5,5.0
Besharam_1978,1978,1.0,2,1.0,3
Vijay (1988 film)_1988,1988,3,3.0,4,6.0
Dil Ki Rahen_1973,1973,1.0,2,5.0,6
Atithee_1978,1978,1.0,3.0,5.0,5.0
Hafta Bandh_1991,1991,2,3.0,5,5.0
Aitbaar_1985,1985,0.0,2.0,0.0,4.0
Naya Kadam_1984,1984,2,2.0,7,7.0
Aahat (film)_1974,1974,1.0,1,2.0,2
Apna Desh_1972,1972,2,3.0,4,6.0
Deewana Tere Naam Ka_1987,1987,2.0,2.0,3.0,4.0
Paap Ko Jalaa Kar Raakh Kar Doonga_1988,1988,2.0,1,11.0,8
Soorma Bhopali_1988,1988,2,2.0,5,2.0
Mumbai Delhi Mumbai_2014,2014,1,0.0,1,0.0
Humpty Sharma Ki Dulhania_2014,2014,7,5.0,9,6.0
Godam_1983,1983,3,0.0,12,0.0
Anamika (1973 film)_1973,1973,1.0,2.0,1.0,4.0
Pyar Pyar_1993,1993,2.0,3,6.0,7
Radio (2009 film)_2009,2009,1.0,3.0,1.0,6.0
Raja Ko Rani Se Pyar Ho Gaya_2000,2000,4,1.0,6,2.0
Maya Darpan_1972,1972,0.0,1,0.0,2
Awara Zindagi_1989,1989,2.0,2,3.0,15
Soldier Thakur Daler Singh_1970,1970,1,2.0,4,7.0
Chittagong (film)_2012,2012,4,1.0,7,1.0
Zakhmo Ka Hisaab_1993,1993,2,4.0,5,6.0
Jayantabhai Ki Luv Story_2013,2013,1.0,0.0,2.0,0.0
Yaara Dildara_1991,1991,3,3.0,6,4.0
Banarasi Babu (1997 film)_1997,1997,2.0,2,2.0,2
Bulandi (2000 film)_2000,2000,5,4.0,8,7.0
Mrityudand_1997,1997,1,1.0,2,1.0
Bombay Talkie (1970 film)_1970,1970,2.0,2,2.0,3
Khudgarz_1987,1987,1,1.0,4,2.0
Khel (1992 film)_1992,1992,1.0,6,1.0,8
Sanam Tere Hain Hum_1992,1992,5,4.0,5,4.0
Saas Bhi Kabhi Bahu Thi_1970,1970,3.0,4,6.0,5
Prem Bandhan_1979,1979,2,2.0,3,4.0
Beqasoor_1980,1980,4.0,1,5.0,6
Commando (1988 film)_1988,1988,2,2.0,2,5.0
God and Gun_1995,1995,4,2.0,5,4.0
Janwar Aur Insaan_1972,1972,0.0,0.0,0.0,0.0
Rajnigandha_1974,1974,1,1.0,1,1.0
Arjun (1985 film)_1985,1985,1,2.0,1,3.0
Lootere_1993,1993,4,5.0,5,8.0
Mera Lahoo_1987,1987,1,1.0,1,1.0
Kunwara_2000,2000,2,1.0,8,5.0
Anmol_1993,1993,2,1.0,4,5.0
Roy (film)_2015,2015,3,2.0,7,3.0
Tamacha_1988,1988,2.0,3,2.0,4
Jeans (1998 film)_1998,1998,3,4.0,3,4.0
Housefull 2_2012,2012,3,4.0,6,9.0
Agar... If_1977,1977,2.0,1,2.0,3
Te3n_2016,2016,3.0,1.0,3.0,1.0
Gaja Gamini (2000 film)_2000,2000,4,1.0,5,4.0
Rangrezz_2013,2013,1,0.0,1,0.0
Ajay (1996 film)_1996,1996,3,2.0,10,7.0
Fateh (1991 film)_1991,1991,3.0,4.0,4.0,10.0
Bazaar Band Karo_1974,1974,3,1.0,4,5.0
Aan Aur Shaan_1984,1984,2,2.0,3,3.0
Heartless (2014 film)_2014,2014,6,1.0,10,1.0
Ek Tha Raja_1996,1996,3,3.0,6,4.0
Hare Rama Hare Krishna (1971 film)_1971,1971,2.0,3,8.0,7
Sargam (1979 film)_1979,1979,1,1.0,7,3.0
Preet Ki Dori_1971,1971,1.0,2,2.0,8
Hum Intezaar Karenge_1989,1989,3,3.0,4,3.0
Chor Pe Mor_1990,1990,1.0,2,1.0,7
Do Thug_1975,1975,1.0,2,1.0,4
Dushman (1998 film)_1998,1998,4,1.0,5,4.0
Bandook (2013 film)_2013,2013,3.0,1.0,3.0,1.0
Ahankaar_1995,1995,2.0,4,2.0,5
Jeevan Ek Sanghursh_1990,1990,0.0,3.0,0.0,10.0
Zakhmee Insaan_1982,1982,2.0,5,4.0,10
Amaanat_1977,1977,1.0,1,2.0,4
Zanjeer (2013 film)_2013,2013,1.0,4.0,1.0,5.0
Aazaan_2011,2011,3.0,0.0,3.0,0.0
Aandhi_1975,1975,3,2.0,5,4.0
Maharaja (1998 film)_1998,1998,3,1.0,6,5.0
Bichhoo (2000 film)_2000,2000,6.0,5,7.0,5
Sant Gyaneshwar_1982,1982,3,1.0,3,5.0
Baat Ban Jaye_1986,1986,1.0,3.0,2.0,3.0
Amar Shakti_1978,1978,2,3.0,4,4.0
Zinda Dil_1975,1975,4.0,1,7.0,3
Sunny (1984 film)_1984,1984,2,2.0,4,3.0
Kamagni_1987,1987,1,2.0,2,3.0
Qahar_1997,1997,1,2.0,4,4.0
Amanaat_1994,1994,3.0,1,7.0,4
Zanjeer (1973 film)_1973,1973,2.0,2,2.0,4
Ram Jaane_1995,1995,3,2.0,8,3.0
Coolie No. 1 (Hindi film)_1995,1995,3,3.0,7,5.0
Jo Hum Chahein_2011,2011,4,4.0,5,4.0
Puraskar_1970,1970,2.0,1,3.0,4
Tahalka_1992,1992,5.0,2,7.0,5
Duniya Ka Mela_1974,1974,1,2.0,2,9.0
Jeet (1996 film)_1996,1996,3.0,3.0,5.0,7.0
Rocky Handsome_2016,2016,3.0,2.0,5.0,4.0
Dharkan_1972,1972,3,2.0,7,9.0
Abhinay Chakra_2014,2014,0.0,1.0,0.0,1.0
Satyagraha  Democracy Under Fire_2013,2013,1.0,0.0,2.0,0.0
Shootout at Wadala_2013,2013,2,0.0,9,0.0
Baadal_1985,1985,3,1.0,11,1.0
Paanch Dushman_1973,1973,2,2.0,8,4.0
Andaz (1971 film)_1971,1971,3,3.0,7,6.0
Bahaar Aane Tak_1990,1990,2.0,2,3.0,8
Munna Michael_2017,2017,4,3.0,4,4.0
Meri Biwi Ki Shaadi_1979,1979,2,3.0,4,5.0
Kartavya (1979 film)_1979,1979,1.0,3,5.0,9
Ghar (film)_1978,1978,2.0,2,3.0,4
Yeh Mera India_2009,2009,1.0,1,1.0,1
Ek Mutthi Aasmaan_1973,1973,2.0,2,5.0,6
International Crook_1974,1974,2,2.0,4,2.0
Anaam_1992,1992,3,3.0,7,3.0
Mera Haque_1986,1986,2,2.0,2,3.0
Jeeva (1986 film)_1986,1986,1.0,2,1.0,6
Jai Santoshi Maa_1975,1975,3.0,1,4.0,3
Nagin (1976 film)_1976,1976,3.0,3,4.0,6
Jeene Ki Arzoo_1981,1981,2,2.0,2,3.0
Toofan (1989 film)_1989,1989,3,3.0,4,3.0
Meri Jung_1985,1985,4.0,3,4.0,5
Romance (1983 film)_1983,1983,2,3.0,2,8.0
Tirangaa_1992,1992,2.0,2.0,2.0,9.0
Jail (2009 film)_2009,2009,2,1.0,5,2.0
Life Express (2010 film)_2010,2010,2,1.0,2,1.0
Aa Ab Laut Chalen_1999,1999,5,2.0,9,9.0
Shriman Shrimati_1982,1982,2,1.0,5,2.0
Bhala Manus_1976,1976,0.0,0.0,0.0,0.0
Ramaiya Vasta Vaiya_2013,2013,2,3.0,4,6.0
Ek Hi Maqsad_1988,1988,1.0,1,3.0,3
C.I.D. (1990 film)_1990,1990,3,2.0,3,4.0
Mann (1999 film)_1999,1999,2,3.0,9,6.0
Do Matwale_1991,1991,2,3.0,2,4.0
Suhaagan_1986,1986,1,3.0,3,5.0
Hulchul (1995 film)_1995,1995,2.0,2,2.0,4
Zalzala (1988 film)_1988,1988,4.0,3,4.0,5
Maahir_1996,1996,4.0,3.0,11.0,5.0
Zulmi_1999,1999,2.0,2,2.0,8
Aaj Ka Ye Ghar_1976,1976,1,1.0,2,2.0
Aaj (1987 film)_1987,1987,1,1.0,3,2.0
Dulhe Raja (1998 film)_1998,1998,3,2.0,6,4.0
Kahani Kismat Ki_1973,1973,2,2.0,6,3.0
Bhemaa_1984,1984,0.0,1,0.0,4
Angaaray (1986 film)_1986,1986,2.0,3,2.0,4
Shaitan (film)_2011,2011,3.0,3,4.0,3
Mere Bhaiya_1972,1972,0.0,2,0.0,2
Aan Milo Sajna_1970,1970,2,2.0,4,4.0
Laawaris_1981,1981,3.0,2,6.0,2
Akele Hum Akele Tum_1995,1995,6,1.0,10,3.0
Himmatwala (2013 film)_2013,2013,3.0,4,3.0,6
Crazy Cukkad Family_2015,2015,4,0.0,5,0.0
Dil Hai Ke Manta Nahin_1991,1991,2,1.0,5,13.0
King Uncle (1993 film)_1993,1993,3,4.0,5,7.0
Rishta To Ho Aisa_1992,1992,2.0,3,2.0,4
Jalwa_1987,1987,0.0,2.0,0.0,3.0
Taqdeer Ka Badshah_1982,1982,2,1.0,6,2.0
Aastha: In the Prison of Spring_1997,1997,1.0,2.0,1.0,3.0
Pyar Ke Naam Qurbaan_1990,1990,1.0,1,2.0,7
Love Sex aur Dhokha_2010,2010,1.0,2,6.0,2
Love Story (1981 film)_1981,1981,0.0,3,0.0,10
Haqeeqat (1985 film)_1985,1985,2,6.0,2,6.0
Paap Ki Duniya_1988,1988,3.0,3.0,4.0,4.0
Auzaar_1997,1997,7,1.0,10,3.0
Badnam Farishte_1971,1971,2.0,1,6.0,5
Ghulami_1985,1985,1.0,1,1.0,3
Paap Ki Aandhi_1991,1991,1.0,3,1.0,5
Badhti Ka Naam Dadhi_1974,1974,4,2.0,9,2.0
Yaraana (1981 film)_1981,1981,2,0.0,6,0.0
Maa Ka Aanchal_1970,1970,2.0,1,4.0,6
Bidaai (1974 film)_1974,1974,1.0,3,2.0,5
Patton Ki Bazi_1986,1986,2.0,1,4.0,10
Aakhri Mujra_1981,1981,0.0,0.0,0.0,0.0
Dharm Adhikari_1986,1986,2,3.0,3,5.0
Hum Dil De Chuke Sanam_1999,1999,8,3.0,12,10.0
